;year;avgsentlen
FRA40485;1872.0;21.73989266547406
FRA20077;1796.0;22.80246913580247
FRA03101;1852.0;18.391134289439375
FRA40307;1861.0;26.314819248264303
FRA40096;1876.0;17.950788034737858
FRA40143;1857.0;22.50760734813479
FRA40457;1857.0;23.7609756097561
FRA40146;1887.0;23.7267483777938
FRA40043;1879.0;26.694432817078276
FRA40021;1890.0;21.679969879518072
FRA03302;1865.0;19.69854227405248
FRA02101;1854.0;23.209953766657602
FRA40049;1897.0;33.41823444283647
FRA41171;1859.0;16.68624876928126
FRA41178;1866.0;13.827096162955945
FRA40621;1846.0;18.321258341277407
FRA41023;1871.0;21.99696772796188
FRA40569;1846.0;20.009455493968048
FRA20063;1783.0;34.584756898817346
FRA40011;1852.0;17.291130012150667
FRA20068;1767.0;33.70351648351648
FRA40481;1881.0;19.584922010398614
FRA41003;1889.0;21.456820843091336
FRA07301;1853.0;19.45044746436858
FRA40636;1855.0;20.29557843731072
FRA00301;1858.0;22.90984126984127
FRA20087;1798.0;29.44208037825059
FRA20021;1787.0;52.92205491585474
FRA20083;1769.0;23.311635220125787
FRA20024;1795.0;43.435119349923816
FRA02701;1885.0;16.703878082022054
FRA40367;1882.0;22.902418682235197
FRA40100;1877.0;19.38711203633611
FRA40445;1872.0;23.713779527559055
FRA20065;1788.0;34.45458298926507
FRA41021;1874.0;19.04327485380117
FRA01102;1889.0;20.94417643004824
FRA20080;1784.0;25.752416520210897
FRA20076;1775.0;32.0367722165475
FRA40141;1856.0;27.283136278780336
FRA40050;1890.0;38.416409623689084
FRA40017;1875.0;22.680064136825226
FRA40646;1897.0;21.782475281281965
FRA20044;1795.0;23.840725806451612
FRA40103;1888.0;22.975282671575073
FRA20089;1775.0;29.767302167667797
FRA07001;1892.0;29.104669887278583
FRA02802;1883.0;16.41317365269461
FRA20025;1753.0;45.150621118012424
FRA20034;1767.0;26.628070175438598
FRA40348;1874.0;23.955555555555556
FRA40449;1853.0;30.99747081712062
FRA40483;1892.0;20.61014405762305
FRA02403;1909.0;27.338329764453963
FRA40614;1881.0;20.15778546712803
FRA40720;1897.0;18.940033783783782
FRA20071;1776.0;34.676578560939795
FRA20061;1786.0;29.226174496644294
FRA40732;1865.0;18.733265027322403
FRA40371;1874.0;19.9887482419128
FRA40426;1883.0;16.903985133181912
FRA04701;1919.0;18.420162805259864
FRA40035;1869.0;28.321221374045802
FRA41152;1873.0;17.855263157894736
FRA40448;1846.0;24.876620010368065
FRA04301;1847.0;18.369789872545642
FRA40564;1844.0;25.09812834224599
FRA05702;1857.0;17.414686117029994
FRA05602;1904.0;16.462822559191274
FRA40030;1864.0;24.692024539877302
FRA20007;1782.0;10.923683600092787
FRA02703;1889.0;21.37872439478585
FRA40022;1884.0;28.400936037441497
FRA20042;1783.0;38.64855967078189
FRA00201;1925.0;19.70854271356784
FRA40087;1878.0;18.572714937708152
FRA07101;1856.0;19.98429102935097
FRA04001;1878.0;18.177747625508818
FRA40138;1854.0;26.20137019818938
FRA40308;1877.0;28.102824709609294
FRA03401;1855.0;25.33754116355653
FRA40475;1888.0;20.749164996659985
FRA06201;1845.0;31.99171270718232
FRA20035;1767.0;29.476106194690267
FRA05501;1910.0;22.637896427137697
FRA40132;1850.0;27.87356753710314
FRA40570;1847.0;22.72633959638135
FRA20002;1761.0;46.04329004329004
FRA40413;1881.0;26.69507864028412
FRA40106;1886.0;20.93445540149774
FRA41169;1859.0;17.4854065070238
FRA04801;1909.0;14.774046869534802
FRA00903;1881.0;27.375266524520256
FRA40409;1869.0;26.65470297029703
FRA01201;1868.0;18.868347987043034
FRA20017;1798.0;21.21613545816733
FRA40091;1892.0;22.453055650392624
FRA02202;1867.0;18.620602103735944
FRA20015;1771.0;21.85551425030979
FRA40097;1883.0;17.873322720036388
FRA01403;1881.0;17.985925085130532
FRA41027;1872.0;17.805140265412398
FRA40042;1862.0;22.108684256508823
FRA20064;1779.0;29.306231003039514
FRA20008;1758.0;40.18173758865248
FRA41026;1872.0;18.630477253698018
FRA04601;1907.0;19.046579580611894
FRA41177;1866.0;15.917232122884199
FRA41002;1888.0;20.129447236180905
FRA40611;1865.0;16.94110256007539
FRA40724;1849.0;20.735720627404557
FRA40344;1889.0;21.499655410062026
FRA20066;1798.0;38.98518518518519
FRA02801;1888.0;21.205959112657677
FRA40015;1897.0;24.318853695324282
FRA00501;1853.0;22.603544776119403
FRA04101;1865.0;23.9977766798419
FRA20049;1791.0;38.93571428571428
FRA40109;1861.0;26.524794645573472
FRA40658;1892.0;16.18852679773768
FRA40474;1840.0;24.93915533285612
FRA20048;1763.0;29.07519116397621
FRA40303;1877.0;26.52319144874976
FRA40629;1862.0;19.97687057633974
FRA41172;1868.0;16.44944614659439
FRA40721;1886.0;22.59028206711962
FRA20075;1764.0;25.63244811426021
FRA40053;1889.0;21.387284583139262
FRA40036;1862.0;20.961218177492267
FRA20059;1783.0;26.162384378211716
FRA20095;1795.0;33.521390778533636
FRA02601;1869.0;25.992228784581908
FRA00401;1902.0;18.80203841630733
FRA03103;1868.0;18.608511586452764
FRA05401;1849.0;21.418403391027905
FRA40317;1879.0;19.783925686591274
FRA40061;1873.0;21.916808411937527
FRA01603;1900.0;20.984247374562425
FRA40418;1891.0;29.108987603305785
FRA40374;1868.0;19.782078249894827
FRA40026;1867.0;20.67462686567164
FRA40020;1867.0;19.594649074583103
FRA06801;1861.0;18.935174871909112
FRA41008;1885.0;20.398677685950414
FRA20052;1790.0;21.861125190065888
FRA07401;1910.0;13.994739359158297
FRA02303;1878.0;20.686967910936477
FRA40041;1869.0;16.656495975944104
FRA40376;1869.0;18.37300435413643
FRA40323;1899.0;15.00785519125683
FRA40306;1865.0;24.384443021766966
FRA40563;1841.0;22.644300144300143
FRA40129;1843.0;21.939835031538088
FRA40028;1876.0;30.324675324675326
FRA20088;1784.0;28.448055407565263
FRA40040;1857.0;20.29598220492145
FRA40402;1886.0;29.865879375790804
FRA20019;1796.0;28.847242921013414
FRA20018;1774.0;25.279947916666668
FRA40476;1869.0;22.33426475724764
FRA41168;1869.0;14.822827446828986
FRA00801;1843.0;15.981393975191967
FRA02301;1888.0;22.700472440944882
FRA03902;1884.0;20.19154078549849
FRA41024;1871.0;23.625425894378193
FRA40149;1888.0;20.770015157778698
FRA40009;1860.0;21.404026845637585
FRA40001;1841.0;33.02241793434748
FRA02302;1878.0;24.413074712643677
FRA40566;1841.0;23.948789101917257
FRA20016;1798.0;24.7827868852459
FRA40347;1877.0;17.32528735632184
FRA40002;1852.0;28.974067046173307
FRA40422;1898.0;18.088091628768737
FRA40562;1842.0;23.207356076759062
FRA40104;1875.0;18.83125
FRA40092;1872.0;22.730664395229983
FRA40421;1898.0;15.856163316191367
FRA05901;1907.0;22.819002256204563
FRA40093;1893.0;23.424588086185043
FRA41028;1868.0;16.843025836810796
FRA01301;1869.0;16.22384363668524
FRA20004;1784.0;15.047823421213979
FRA40169;1875.0;21.498296422487222
FRA40446;1845.0;21.738783498946102
FRA40130;1843.0;23.614955786236063
FRA20011;1755.0;16.746581196581197
FRA40455;1871.0;20.639664804469273
FRA00603;1889.0;21.45411971315674
FRA40743;1844.0;28.42266273133376
FRA40137;1853.0;25.280974299961642
FRA40622;1846.0;17.70356564019449
FRA40056;1883.0;22.78561011181332
FRA20097;1753.0;29.376978417266187
FRA40657;1890.0;18.816637375512595
FRA40407;1878.0;29.21682439537329
FRA20010;1761.0;27.52911813643927
FRA40345;1890.0;22.266491917868066
FRA40726;1844.0;29.29155634010003
FRA20069;1799.0;32.62515188335358
FRA40101;1882.0;18.26678211266171
FRA06601;1902.0;20.04022727272727
FRA41174;1868.0;16.08554695670362
FRA20073;1757.0;19.727676369018255
FRA02603;1888.0;27.433318853171155
FRA40314;1858.0;24.404277159965783
FRA20094;1798.0;33.23974082073434
FRA05101;1904.0;20.694065610025802
FRA00101;1860.0;18.941265060240966
FRA20012;1751.0;34.278307112785285
