;year;avgsentlen
POR0057;1849.0;22.089411764705883
POR0085;1863.0;19.20555156736061
POR0024;1873.0;16.83485309017224
POR0010;1862.0;17.03547542890375
POR0088;1864.0;22.739681184173072
POR0022;1892.0;15.912295081967214
POR0062;1908.0;27.647368421052633
POR0055;1873.0;17.511255763493356
POR0007;1868.0;15.955883939165139
POR0073;1867.0;14.864855570839065
POR0082;1858.0;20.79362306180389
POR0021;1888.0;20.873173970783533
POR0017;1874.0;20.954528786211956
POR0036;1881.0;21.566453447050463
POR0065;1914.0;14.446308724832214
POR0054;1901.0;19.535105495291454
POR0023;1844.0;24.320058458165875
POR0071;1881.0;18.646098003629763
POR0037;1905.0;17.596022990024444
POR0070;1857.0;25.32704402515723
POR0053;1891.0;19.002926972047415
POR0047;1863.0;17.39091886082751
POR0091;1876.0;17.95675961877868
POR0032;1899.0;17.856138235885073
POR0015;1867.0;15.997160166603559
POR0068;1899.0;24.330608908868
POR0096;1858.0;31.910625
POR0067;1867.0;21.145653876272515
POR0048;1864.0;20.27231467473525
POR0002;1908.0;26.266490765171504
POR0072;1900.0;22.41196877710321
POR0001;1868.0;17.08840511121628
POR0025;1870.0;21.394201110425662
POR0063;1870.0;15.5176752546435
POR0089;1868.0;16.12642487046632
POR0004;1846.0;19.4676414189837
POR0008;1900.0;18.6272999572101
POR0016;1865.0;17.93070787637089
POR0080;;12.587612150037835
POR0005;1888.0;18.323240818615083
POR0061;1871.0;20.21384108385207
POR0077;1857.0;24.91549295774648
POR0044;1877.0;20.321472392638036
POR0094;1862.0;24.88712083540527
POR0018;1908.0;18.766189111747853
POR0014;1906.0;17.77487714987715
POR0046;1875.0;16.549358470803874
POR0064;1873.0;18.58940170940171
POR0013;1906.0;12.846072186836517
POR0074;1900.0;19.931535269709542
POR0093;1874.0;20.355371900826448
POR0026;1883.0;17.36512588250966
POR0003;1848.0;20.95432098765432
POR0052;1903.0;13.19021190716448
POR0092;1878.0;16.0366190695532
POR0051;1917.0;15.226392493511678
POR0011;1858.0;16.55883361921098
POR0078;1908.0;18.969440526563236
POR0020;1917.0;24.981684049860085
POR0081;1878.0;23.086810228802154
POR0100;1889.0;35.07448107448108
POR0098;1901.0;15.241861880133861
POR0027;1873.0;27.56718292172457
POR0095;1905.0;23.428571428571427
POR0031;1897.0;29.253170731707318
POR0043;1886.0;21.741071428571427
POR0086;1912.0;12.842767295597485
POR0075;1906.0;22.43287963704297
POR0066;1916.0;16.315130830489192
POR0039;1846.0;37.58553791887125
POR0058;1895.0;18.803156917363044
POR0079;1879.0;27.964687418257913
POR0060;1881.0;16.713954834973944
POR0049;1891.0;17.712656284272867
POR0099;1903.0;21.633333333333333
POR0083;1908.0;15.293120638085743
POR0084;1866.0;15.434064369125606
POR0087;1908.0;14.830545732581477
POR0028;1875.0;15.14074427480916
POR0029;1876.0;16.735603715170278
POR0033;1904.0;18.405228758169933
POR0041;1916.0;18.509838107098382
POR0034;1874.0;17.446217331499312
POR0097;1906.0;12.74739798447051
POR0030;1861.0;35.77935676888556
POR0069;1867.0;13.551643192488262
POR0012;1854.0;17.55823927765237
POR0019;1914.0;18.037865748709123
POR0038;1843.0;23.137453562985478
POR0050;1866.0;15.467553803187121
POR0035;1900.0;17.676781933662667
POR0006;1855.0;25.080592105263158
POR0042;1904.0;22.38417173982698
POR0090;1892.0;22.257178526841447
POR0009;1875.0;16.96659686907967
POR0076;1894.0;33.73425499231951
POR0040;1857.0;25.110112359550563
POR0059;1875.0;18.695881383855024
POR0056;1892.0;16.183727034120736
POR0045;1870.0;20.845714285714287
