;year;avgsentlen
FRA40485;1872;21.7398926654741
FRA20077;1796;22.8024691358025
FRA03101;1852;18.3911342894394
FRA40307;1861;26.3148192482643
FRA40096;1876;17.9507880347379
FRA40143;1857;22.5076073481348
FRA40457;1857;23.7609756097561
FRA40146;1887;23.7267483777938
FRA40043;1879;26.6944328170783
FRA40021;1890;21.6799698795181
FRA03302;1865;19.6985422740525
FRA02101;1854;23.2099537666576
FRA40049;1897;33.4182344428365
FRA41171;1859;16.6862487692813
FRA41178;1866;13.8270961629559
FRA40621;1846;18.3212583412774
FRA41023;1871;21.9969677279619
FRA40569;1846;20.009455493968
FRA20063;1783;34.5847568988173
FRA40011;1852;17.2911300121507
FRA20068;1767;33.7035164835165
FRA40481;1881;19.5849220103986
FRA41003;1889;21.4568208430913
FRA07301;1853;19.4504474643686
FRA40636;1855;20.2955784373107
FRA00301;1858;22.9098412698413
FRA20087;1798;29.4420803782506
FRA20021;1787;52.9220549158547
FRA20083;1769;23.3116352201258
FRA20024;1795;43.4351193499238
FRA02701;1885;16.7038780820221
FRA40367;1882;22.9024186822352
FRA40100;1877;19.3871120363361
FRA40445;1872;23.7137795275591
FRA20065;1788;34.4545829892651
FRA41021;1874;19.0432748538012
FRA01102;1889;20.9441764300482
FRA20080;1784;25.7524165202109
FRA20076;1775;32.0367722165475
FRA40141;1856;27.2831362787803
FRA40050;1890;38.4164096236891
FRA40017;1875;22.6800641368252
FRA40646;1897;21.782475281282
FRA20044;1795;23.8407258064516
FRA40103;1888;22.9752826715751
FRA20089;1775;29.7673021676678
FRA07001;1892;29.1046698872786
FRA02802;1883;16.4131736526946
FRA20025;1753;45.1506211180124
FRA20034;1767;26.6280701754386
FRA40348;1874;23.9555555555556
FRA40449;1853;30.9974708171206
FRA40483;1892;20.610144057623
FRA02403;1909;27.338329764454
FRA40614;1881;20.157785467128
FRA40720;1897;18.9400337837838
FRA20071;1776;34.6765785609398
FRA20061;1786;29.2261744966443
FRA40732;1865;18.7332650273224
FRA40371;1874;19.9887482419128
FRA40426;1883;16.9039851331819
FRA04701;1919;18.4201628052599
FRA40035;1869;28.3212213740458
FRA41152;1873;17.8552631578947
FRA40448;1846;24.8766200103681
FRA04301;1847;18.3697898725456
FRA40564;1844;25.098128342246
FRA05702;1857;17.41468611703
FRA05602;1904;16.4628225591913
FRA40030;1864;24.6920245398773
FRA20007;1782;10.9236836000928
FRA02703;1889;21.3787243947858
FRA40022;1884;28.4009360374415
FRA20042;1783;38.6485596707819
FRA00201;1925;19.7085427135678
FRA40087;1878;18.5727149377082
FRA07101;1856;19.984291029351
FRA04001;1878;18.1777476255088
FRA40138;1854;26.2013701981894
FRA40308;1877;28.1028247096093
FRA03401;1855;25.3375411635565
FRA40475;1888;20.74916499666
FRA06201;1845;31.9917127071823
